,Unnamed: 0,date,days_before,bookings,weather_temp,weather_rain,weather_available,visitors,bookings_increase
7463,7463,2022-06-05,21,1939.0,0.0,0.0,0,6667,3.4091631205512627
7464,7464,2022-06-06,4,2997.0,20.9,0.0,1,6334,1.6521043138719604
7465,7465,2022-06-06,7,2214.0,20.9,0.0,1,6334,2.644847300540727
7466,7466,2022-06-06,10,1879.0,0.0,0.0,0,6334,3.390964382799232
7467,7467,2022-06-06,21,1453.0,0.0,0.0,0,6334,5.090657766892029
7468,7468,2022-06-07,4,959.0,16.4,1.0,1,1470,0.8408281195689955
7469,7469,2022-06-07,7,840.0,16.4,1.0,1,1470,1.0451782820097244
7470,7470,2022-06-07,10,794.0,0.0,0.0,0,1470,1.295711670546174
7471,7471,2022-06-07,21,661.0,0.0,0.0,0,1470,1.91469815529378
7472,7472,2022-06-08,4,744.0,19.5,0.0,1,1410,1.1657812656369884
7473,7473,2022-06-08,7,672.0,19.5,0.0,1,1410,1.330935216850614
7474,7474,2022-06-08,10,632.0,0.0,0.0,0,1410,1.5416564501792993
7475,7475,2022-06-08,21,446.0,0.0,0.0,0,1410,2.370991045020241
7476,7476,2022-06-09,4,769.0,23.3,0.0,1,1839,1.083310103112046
7477,7477,2022-06-09,7,663.0,23.3,0.0,1,1839,1.3635034124146896
7478,7478,2022-06-09,10,594.0,0.0,0.0,0,1839,1.641224326999779
7479,7479,2022-06-09,21,430.0,0.0,0.0,0,1839,2.64822754637411
7480,7480,2022-06-10,4,1251.0,23.7,0.0,1,2223,0.9071951945485864
7481,7481,2022-06-10,7,1125.0,23.7,0.0,1,2223,1.191588143525741
7482,7482,2022-06-10,10,1022.0,0.0,0.0,0,2223,1.4154563459316718
7483,7483,2022-06-10,21,866.0,0.0,0.0,0,2223,2.010726103891628
7484,7484,2022-06-11,4,3766.0,22.4,0.0,1,6367,1.1684538359677268
7485,7485,2022-06-11,7,3141.0,22.4,0.0,1,6367,1.529538897086698
7486,7486,2022-06-11,10,2860.0,0.0,0.0,0,6367,1.764076279803283
7487,7487,2022-06-11,21,2193.0,0.0,0.0,0,6367,2.458427236098793
7488,7488,2022-06-12,4,2494.0,21.0,1.0,1,5242,1.029378652705888
7489,7489,2022-06-12,7,2035.0,21.0,1.0,1,5242,1.4007770584507258
7490,7490,2022-06-12,10,1778.0,0.0,0.0,0,5242,1.6797875105168447
7491,7491,2022-06-12,21,1387.0,0.0,0.0,0,5242,2.511746493284242
7492,7492,2022-06-13,4,1253.0,19.6,1.0,1,2935,1.1126706275309628
7493,7493,2022-06-13,7,1070.0,19.6,1.0,1,2935,1.4359844393306096
7494,7494,2022-06-13,10,965.0,0.0,0.0,0,2935,1.716398013248261
7495,7495,2022-06-13,21,745.0,0.0,0.0,0,2935,2.4901335859477856
7496,7496,2022-06-14,4,891.0,22.9,1.0,1,1762,0.9060448397853544
7497,7497,2022-06-14,7,776.0,22.9,1.0,1,1762,1.1481848148312022
7498,7498,2022-06-14,10,695.0,0.0,0.0,0,1762,1.4375975706686774
7499,7499,2022-06-14,21,553.0,0.0,0.0,0,1762,2.18772298519134
7500,7500,2022-06-15,4,906.0,24.6,0.0,1,2349,1.1652403490427008
7501,7501,2022-06-15,7,810.0,24.6,0.0,1,2349,1.3761811023622048
7502,7502,2022-06-15,10,725.0,0.0,0.0,0,2349,1.6702232142857143
7503,7503,2022-06-15,21,611.0,0.0,0.0,0,2349,2.335171505384271
7504,7504,2022-06-16,4,878.0,21.4,1.0,1,1468,0.5106803293764768
7505,7505,2022-06-16,7,776.0,21.4,1.0,1,1468,0.6841940456691397
7506,7506,2022-06-16,10,700.0,0.0,0.0,0,1468,0.8378538990528092
7507,7507,2022-06-16,21,574.0,0.0,0.0,0,1468,1.2101497174824758
7508,7508,2022-06-17,4,1765.0,25.9,0.0,1,3576,0.9050436558952208
7509,7509,2022-06-17,7,1578.0,25.9,0.0,1,3576,1.1946836715943534
7510,7510,2022-06-17,10,1444.0,0.0,0.0,0,3576,1.3824744278676384
7511,7511,2022-06-17,21,1130.0,0.0,0.0,0,3576,2.0608511808137404
7512,7512,2022-06-18,4,4298.0,22.7,0.0,1,6321,0.3852284692033229
7513,7513,2022-06-18,7,3620.0,22.7,0.0,1,6321,0.6208885979941094
7514,7514,2022-06-18,10,3245.0,0.0,0.0,0,6321,0.7831022569341073
7515,7515,2022-06-18,21,2468.0,0.0,0.0,0,6321,1.258382004924999
7516,7516,2022-06-19,4,2713.0,20.3,0.0,1,5615,1.4634037175504186
7517,7517,2022-06-19,7,2236.0,20.3,0.0,1,5615,1.9588870431893688
7518,7518,2022-06-19,10,1996.0,0.0,0.0,0,5615,2.39799781576
7519,7519,2022-06-19,21,1520.0,0.0,0.0,0,5615,4.2288576555023925
7520,7520,2022-06-20,4,1866.0,19.4,1.0,1,3247,0.9589916595164426
7521,7521,2022-06-20,7,1574.0,19.4,1.0,1,3247,1.3374830215133855
7522,7522,2022-06-20,10,1445.0,0.0,0.0,0,3247,1.65190267784289
7523,7523,2022-06-20,21,1137.0,0.0,0.0,0,3247,2.454636239826099
7524,7524,2022-06-21,4,1799.0,24.8,0.0,1,3885,1.1153396594946248
7525,7525,2022-06-21,7,1565.0,24.8,0.0,1,3885,1.439750196574776
7526,7526,2022-06-21,10,1390.0,0.0,0.0,0,3885,1.7910990356650849
7527,7527,2022-06-21,21,1095.0,0.0,0.0,0,3885,2.642731518574248
7528,7528,2022-06-22,4,1405.0,21.3,0.0,1,3141,1.2986094708220366
7529,7529,2022-06-22,7,1275.0,21.3,0.0,1,3141,1.5857470067673087
7530,7530,2022-06-22,10,1106.0,0.0,0.0,0,3141,1.963209582523412
7531,7531,2022-06-22,21,836.0,0.0,0.0,0,3141,3.386785238057887
7532,7532,2022-06-23,4,1181.0,24.7,0.0,1,2543,1.3017475294567329
7533,7533,2022-06-23,7,1094.0,24.7,0.0,1,2543,1.6503495332160971
7534,7534,2022-06-23,10,959.0,0.0,0.0,0,2543,2.0705589318300315
7535,7535,2022-06-23,21,707.0,0.0,0.0,0,2543,3.572623367039455
7536,7536,2022-06-24,4,2940.0,27.7,0.0,1,5587,1.1167539806389288
7537,7537,2022-06-24,7,2400.0,27.7,0.0,1,5587,1.5525517139479903
7538,7538,2022-06-24,10,2115.0,0.0,0.0,0,5587,1.8594416345032907
7539,7539,2022-06-24,21,1419.0,0.0,0.0,0,5587,3.11430198770116
7540,7540,2022-06-25,4,3067.0,29.6,0.0,1,5568,0.9900997438320132
7541,7541,2022-06-25,7,2521.0,29.6,0.0,1,5568,1.464572128283906
7542,7542,2022-06-25,10,2287.0,0.0,0.0,0,5568,1.7523619891381192
7543,7543,2022-06-25,21,1647.0,0.0,0.0,0,5568,2.907443946555861
7544,7544,2022-06-26,4,2920.0,29.4,0.0,1,4940,0.8584954529757107
7545,7545,2022-06-26,7,2279.0,29.4,0.0,1,4940,1.2327955771748162
7546,7546,2022-06-26,10,2032.0,0.0,0.0,0,4940,1.4658754353176668
7547,7547,2022-06-26,21,1291.0,0.0,0.0,0,4940,2.5092720361545284
7548,7548,2022-06-27,4,2314.0,31.5,0.0,1,3571,0.8631842797433595
7549,7549,2022-06-27,7,2012.0,31.5,0.0,1,3571,1.1540921139827702
7550,7550,2022-06-27,10,1855.0,0.0,0.0,0,3571,1.362533692722372
7551,7551,2022-06-27,21,1421.0,0.0,0.0,0,3571,2.114597735645982
7552,7552,2022-06-28,4,2521.0,29.2,1.0,1,4385,0.9396013565939584
7553,7553,2022-06-28,7,2253.0,29.2,1.0,1,4385,1.1838450568615138
7554,7554,2022-06-28,10,2055.0,0.0,0.0,0,4385,1.4188449167795878
7555,7555,2022-06-28,21,1617.0,0.0,0.0,0,4385,2.204448943548418
7556,7556,2022-06-29,4,2530.0,27.1,0.0,1,5076,1.1827106189474594
7557,7557,2022-06-29,7,2211.0,27.1,0.0,1,5076,1.5132967208870354
7558,7558,2022-06-29,10,2001.0,0.0,0.0,0,5076,1.7904311304189036
7559,7559,2022-06-29,21,1607.0,0.0,0.0,0,5076,2.566091537885805
7560,7560,2022-06-30,4,2333.0,24.9,1.0,1,4698,0.8698758740682312
7561,7561,2022-06-30,7,2139.0,24.9,1.0,1,4698,1.0520681504012652
7562,7562,2022-06-30,10,1931.0,0.0,0.0,0,4698,1.2523346284897134
7563,7563,2022-06-30,21,1502.0,0.0,0.0,0,4698,1.9938167410772565
